Date,Open,High,Low,Close,Volume
09/22/2023,"118.07","119.52","116.97","117.78","1,141,247"
09/15/2023,"118.68","119.94","116.30","117.39","2,118,700"
09/08/2023,"117.12","118.11","116.39","117.90","937,564"
09/01/2023,"120.59","122.22","118.78","118.89","1,555,465"
08/25/2023,"118.67","120.40","118.09","120.31","1,945,932"
08/18/2023,"118.18","119.26","116.96","117.63","1,783,640"
08/11/2023,"119.12","120.68","118.58","119.14","1,351,508"
08/04/2023,"123.02","123.68","118.88","118.95","1,000,083"
07/28/2023,"120.59","125.41","120.22","123.20","901,423"
07/21/2023,"121.66","122.82","119.99","120.70","1,801,175"
07/14/2023,"119.00","122.66","118.79","122.21","951,071"
07/07/2023,"120.31","120.67","117.36","117.45","685,952"
06/30/2023,"121.16","121.35","118.84","120.35","1,112,091"
06/23/2023,"120.35","121.93","119.31","121.00","1,119,831"
06/16/2023,"119.04","122.24","117.45","120.86","1,291,923"
06/09/2023,"119.44","120.50","118.09","118.74","1,002,760"
06/02/2023,"120.47","120.99","118.00","120.67","1,631,976"
05/26/2023,"126.01","126.17","122.03","123.96","823,032"
05/19/2023,"128.65","128.68","125.30","126.62","769,372"
05/12/2023,"130.77","130.98","127.67","128.26","871,592"
05/05/2023,"126.37","131.64","126.37","130.70","840,172"
04/28/2023,"128.44","129.71","126.73","128.26","1,010,163"
04/21/2023,"126.53","130.10","126.07","129.45","707,577"
04/14/2023,"122.12","126.97","122.12","126.10","1,264,872"
04/06/2023,"122.02","126.15","121.72","125.75","889,031"
03/31/2023,"119.52","122.14","119.09","121.69","1,064,852"
03/24/2023,"117.06","120.06","116.57","119.60","1,008,306"
03/17/2023,"116.61","118.45","115.24","117.71","1,055,518"
03/10/2023,"112.87","115.00","111.15","113.67","1,028,640"
03/03/2023,"116.21","116.21","112.30","114.92","1,993,139"
02/24/2023,"117.96","119.02","114.70","115.30","662,382"
02/17/2023,"119.80","121.36","116.35","118.60","827,827"
02/10/2023,"119.87","120.46","117.78","118.70","1,106,440"
02/03/2023,"119.80","123.05","119.72","120.73","1,029,991"
01/27/2023,"122.21","123.03","118.44","118.71","1,214,427"
01/20/2023,"124.37","125.00","121.27","122.17","1,586,194"
01/13/2023,"120.62","123.25","120.15","123.19","1,044,291"
01/06/2023,"116.64","119.91","115.78","119.69","918,883"
12/30/2022,"116.16","117.31","115.30","115.34","946,073"
12/23/2022,"116.10","117.37","115.14","115.64","1,470,631"
12/16/2022,"116.95","121.40","114.42","114.80","1,773,114"
12/09/2022,"119.09","119.48","115.40","116.58","8,144,108"
12/02/2022,"120.11","122.08","116.72","120.32","5,393,900"
11/25/2022,"116.66","119.74","116.36","119.27","924,179"
11/18/2022,"114.63","116.90","112.97","116.23","1,446,157"
11/11/2022,"108.73","115.20","108.25","114.80","1,564,512"
11/04/2022,"108.51","110.28","106.38","109.06","1,793,822"
10/28/2022,"107.02","110.00","106.40","108.69","2,063,251"
10/21/2022,"107.65","108.99","104.27","105.84","1,405,500"
10/14/2022,"105.59","106.81","102.78","104.32","2,351,092"
10/07/2022,"107.60","109.75","106.00","106.15","2,225,690"
09/30/2022,"107.32","109.31","106.32","107.61","2,616,881"
09/23/2022,"110.22","110.45","108.20","108.86","775,994"
