Date,Open,High,Low,Close,Volume
09/22/2023,"45.46","46.04","45.26","45.30","73,083,260"
09/15/2023,"45.08","46.15","44.57","45.34","122,863,306"
09/08/2023,"45.55","45.70","44.25","45.03","90,219,380"
09/01/2023,"45.56","47.30","45.35","45.73","77,780,318"
08/25/2023,"45.55","46.10","45.16","45.47","71,039,381"
08/18/2023,"46.19","47.46","45.64","45.76","88,369,130"
08/11/2023,"45.14","46.53","45.09","46.03","77,355,389"
08/04/2023,"45.37","45.82","44.61","44.84","72,751,750"
07/28/2023,"43.11","46.44","42.63","45.23","99,436,250"
07/21/2023,"41.85","43.50","41.51","42.89","125,372,821"
07/14/2023,"41.74","42.74","41.63","42.01","83,169,161"
07/07/2023,"40.98","41.88","40.87","41.43","48,084,291"
06/30/2023,"40.27","42.04","40.17","41.55","76,895,371"
06/23/2023,"41.24","41.31","39.94","40.09","59,235,021"
06/16/2023,"40.19","41.66","40.10","41.20","97,819,896"
06/09/2023,"39.28","40.51","39.22","40.23","79,708,300"
06/02/2023,"39.12","39.76","38.48","39.19","133,023,871"
05/26/2023,"41.49","41.66","39.00","39.48","118,035,101"
05/19/2023,"40.38","41.59","39.54","41.18","75,483,749"
05/12/2023,"40.53","40.80","39.28","40.21","95,044,831"
05/05/2023,"42.00","42.00","39.85","40.43","91,884,721"
04/28/2023,"37.67","41.42","36.39","41.37","107,486,130"
04/21/2023,"37.99","39.06","37.50","37.74","73,608,760"
04/14/2023,"37.53","38.74","37.42","37.96","78,073,460"
04/06/2023,"38.00","38.35","37.46","37.69","76,689,068"
03/31/2023,"36.18","37.95","36.17","37.91","73,512,410"
03/24/2023,"36.19","37.26","35.28","35.92","90,428,041"
03/17/2023,"35.30","36.31","34.63","36.03","146,245,477"
03/10/2023,"37.62","37.63","34.99","35.31","84,630,591"
03/03/2023,"37.25","37.57","36.34","37.23","89,673,189"
02/24/2023,"38.47","38.70","36.89","37.00","71,235,602"
02/17/2023,"38.17","39.99","38.17","39.12","91,035,958"
02/10/2023,"39.55","39.89","37.87","38.36","88,370,141"
02/03/2023,"39.11","41.15","38.68","39.97","104,685,879"
01/27/2023,"39.25","40.74","39.01","39.60","122,172,068"
01/20/2023,"38.99","39.45","37.77","39.37","75,164,471"
01/13/2023,"37.99","39.06","37.34","38.93","86,486,300"
01/06/2023,"34.94","38.00","34.74","37.89","92,992,689"
12/30/2022,"35.11","35.35","34.53","34.97","57,628,070"
12/23/2022,"34.57","35.40","33.78","35.14","121,996,657"
12/16/2022,"35.54","37.88","34.06","34.49","188,016,357"
12/09/2022,"35.37","36.04","34.26","35.32","114,418,563"
12/02/2022,"35.36","37.08","35.11","35.86","118,970,704"
11/25/2022,"34.62","35.98","34.03","35.65","74,288,320"
11/18/2022,"33.91","35.08","33.21","34.50","121,772,080"
11/11/2022,"31.33","34.06","31.13","34.02","125,408,938"
11/04/2022,"31.88","32.61","30.04","31.00","132,626,811"
10/28/2022,"30.84","34.26","30.63","31.95","159,409,699"
10/21/2022,"30.47","31.59","30.05","30.48","141,248,364"
10/14/2022,"29.54","30.84","28.39","30.05","150,862,389"
10/07/2022,"29.84","31.10","29.20","29.27","146,221,059"
09/30/2022,"31.66","31.85","29.28","29.33","154,805,108"
09/23/2022,"32.60","32.92","31.45","31.84","52,631,381"
