Date,Open,High,Low,Close,Volume
09/22/2023,"130.76","132.03","129.60","130.25","26,397,340"
09/21/2023,"131.44","132.23","130.07","130.44","31,503,910"
09/20/2023,"138.08","138.08","133.62","133.74","29,927,480"
09/19/2023,"137.42","138.41","136.62","138.04","20,353,650"
09/18/2023,"136.61","139.16","136.61","138.21","21,861,350"
09/15/2023,"137.98","138.52","136.48","137.40","38,919,609"
09/14/2023,"137.60","138.70","136.24","138.10","24,750,971"
09/13/2023,"135.09","136.90","134.15","136.71","20,749,500"
09/12/2023,"136.26","136.87","135.19","135.34","18,405,510"
09/11/2023,"136.54","137.48","135.79","136.92","20,763,350"
09/08/2023,"134.91","136.66","134.85","136.38","23,584,189"
09/07/2023,"133.59","135.58","132.95","135.26","18,844,340"
09/06/2023,"136.02","136.53","133.67","134.46","18,684,529"
09/05/2023,"135.44","136.42","134.58","135.77","19,403,109"
09/01/2023,"137.46","137.46","134.85","135.66","21,543,689"
08/31/2023,"136.01","138.00","135.79","136.17","30,053,801"
08/30/2023,"134.78","136.28","134.07","135.88","28,315,770"
08/29/2023,"132.24","136.57","132.24","134.57","43,075,559"
08/28/2023,"131.31","132.54","130.14","131.01","20,543,270"
08/25/2023,"129.54","130.76","127.25","129.88","26,762,891"
08/24/2023,"133.95","134.25","129.57","129.78","28,500,689"
08/23/2023,"130.18","133.41","129.87","132.37","27,819,711"
08/22/2023,"128.51","130.28","128.32","129.08","22,067,520"
08/21/2023,"127.18","128.73","126.56","128.37","25,248,730"
08/18/2023,"128.51","129.25","126.38","127.46","30,504,770"
08/17/2023,"129.80","131.99","129.29","129.92","33,446,281"
08/16/2023,"128.70","130.28","127.87","128.70","25,216,070"
08/15/2023,"131.10","131.42","129.28","129.78","19,770,730"
08/14/2023,"129.39","131.37","128.96","131.33","24,695,609"
08/11/2023,"128.66","129.93","128.17","129.56","19,591,080"
08/10/2023,"131.32","132.05","129.45","129.69","20,857,750"
08/09/2023,"131.66","132.04","129.00","129.66","24,912,920"
08/08/2023,"130.62","131.51","129.55","131.40","23,535,180"
