Date,Open,High,Low,Close,Volume
09/22/2023,"299.30","305.38","298.27","299.08","25,369,590"
09/21/2023,"295.70","300.26","293.27","295.73","21,319,580"
09/20/2023,"305.05","308.06","299.43","299.67","19,379,520"
09/19/2023,"302.48","306.17","299.81","305.07","15,931,620"
09/18/2023,"298.19","303.60","297.80","302.55","14,234,160"
09/15/2023,"311.61","312.00","298.75","300.31","28,131,141"
09/14/2023,"306.74","312.87","305.03","311.72","19,343,100"
09/13/2023,"302.36","307.18","301.32","305.06","13,210,920"
09/12/2023,"306.33","308.66","300.23","301.66","13,480,400"
09/11/2023,"301.41","309.04","301.28","307.56","19,489,330"
09/08/2023,"299.22","305.25","296.78","297.89","17,572,199"
09/07/2023,"298.00","307.05","292.22","298.67","33,748,738"
09/06/2023,"301.71","303.30","295.66","299.17","15,418,090"
09/05/2023,"297.02","301.39","295.51","300.15","14,955,990"
09/01/2023,"299.37","301.74","294.47","296.38","12,842,260"
08/31/2023,"295.80","301.10","295.66","295.89","17,229,869"
08/30/2023,"297.17","298.29","293.43","295.10","17,717,020"
08/29/2023,"288.59","299.15","288.18","297.99","20,844,520"
08/28/2023,"288.00","291.45","285.80","290.26","14,239,290"
08/25/2023,"286.13","288.39","276.03","285.50","23,701,439"
08/24/2023,"298.50","299.46","286.64","286.75","18,360,881"
08/23/2023,"288.50","297.40","287.67","294.24","18,287,000"
08/22/2023,"292.55","292.90","286.75","287.60","12,999,910"
08/21/2023,"283.45","290.50","281.85","289.90","20,181,480"
08/18/2023,"279.03","285.69","274.38","283.25","35,347,930"
08/17/2023,"293.05","296.05","284.95","285.09","23,950,090"
08/16/2023,"300.20","301.08","294.28","294.29","18,547,740"
08/15/2023,"306.14","307.23","300.03","301.95","11,623,610"
08/14/2023,"300.98","306.21","298.25","306.19","15,641,920"
08/11/2023,"302.57","304.72","300.36","301.64","14,046,250"
08/10/2023,"307.94","312.34","303.87","305.74","14,358,900"
08/09/2023,"312.88","313.63","302.85","305.21","19,955,779"
08/08/2023,"314.40","317.89","310.11","312.64","15,183,530"
08/07/2023,"313.23","317.07","310.46","316.56","16,236,500"
08/04/2023,"314.96","318.41","310.20","310.73","17,612,760"
08/03/2023,"309.93","315.95","309.93","313.19","15,215,420"
08/02/2023,"318.00","318.39","310.65","314.31","20,461,090"
08/01/2023,"317.54","324.14","314.66","322.71","22,889,869"
07/31/2023,"323.69","325.66","317.59","318.60","25,799,600"
07/28/2023,"316.88","326.20","314.25","325.48","39,220,273"
07/27/2023,"325.12","325.35","309.84","311.71","64,229,168"
07/26/2023,"301.19","301.77","291.90","298.57","47,256,930"
07/25/2023,"295.19","298.30","291.86","294.47","19,585,580"
07/24/2023,"295.78","297.52","288.30","291.61","24,949,410"
07/21/2023,"304.57","305.46","291.20","294.26","42,139,262"
07/20/2023,"313.50","315.54","302.22","302.52","23,836,881"
07/19/2023,"313.03","318.68","310.52","316.01","21,763,689"
07/18/2023,"310.88","314.20","307.62","312.05","20,764,580"
07/17/2023,"307.54","311.71","304.71","310.62","25,323,131"
07/14/2023,"311.79","314.88","307.36","308.87","23,054,109"
07/13/2023,"313.62","316.24","310.29","313.41","30,280,971"
07/12/2023,"301.75","309.45","300.10","309.34","36,677,129"
07/11/2023,"293.90","300.18","291.90","298.29","27,585,920"
07/10/2023,"295.55","298.13","287.05","294.10","37,058,312"
07/07/2023,"292.18","296.20","288.66","290.53","25,585,980"
07/06/2023,"295.89","298.12","291.31","291.99","47,733,832"
07/05/2023,"287.65","298.12","286.36","294.37","33,865,461"
07/03/2023,"286.70","289.40","284.85","286.02","8,608,555"
06/30/2023,"284.76","289.05","284.42","286.98","19,694,869"
06/29/2023,"284.50","286.57","280.69","281.53","15,395,690"
06/28/2023,"284.82","289.55","284.06","285.29","16,722,119"
06/27/2023,"282.01","289.35","280.66","287.05","26,108,260"
06/26/2023,"288.70","289.79","277.60","278.47","24,232,650"
06/23/2023,"281.51","289.67","278.95","288.73","51,092,039"
06/22/2023,"279.08","285.26","277.79","284.88","17,563,061"
06/21/2023,"283.53","284.00","278.36","281.64","20,556,170"
06/20/2023,"278.73","284.80","276.22","284.33","20,701,590"
