Date,Open,High,Low,Close,Volume
09/22/2023,"327.80","330.40","315.00","317.01","111,793,480"
09/15/2023,"337.24","340.86","329.65","330.22","108,640,054"
09/08/2023,"329.00","336.16","328.66","334.27","74,018,799"
09/01/2023,"325.66","331.99","321.72","328.66","90,668,149"
08/25/2023,"317.93","332.98","317.04","322.98","106,273,892"
08/18/2023,"321.39","325.09","311.55","316.48","102,513,459"
08/11/2023,"328.37","331.11","319.21","321.01","106,911,589"
08/04/2023,"336.92","338.54","325.95","327.78","113,690,360"
07/28/2023,"345.85","351.89","329.05","338.37","194,860,779"
07/21/2023,"345.68","366.78","339.83","343.77","228,153,312"
07/14/2023,"334.60","351.43","327.00","345.24","138,404,820"
07/07/2023,"339.19","342.99","334.73","337.22","80,066,970"
06/30/2023,"333.72","342.73","328.49","340.54","109,964,008"
06/23/2023,"339.31","342.08","332.07","335.02","98,196,871"
06/16/2023,"328.58","351.47","325.16","342.33","158,712,888"
06/09/2023,"335.22","338.56","322.50","326.79","128,227,061"
06/02/2023,"335.23","337.50","324.72","335.40","128,101,241"
05/26/2023,"318.60","333.40","312.61","332.89","158,230,092"
05/19/2023,"309.10","319.04","307.59","318.34","122,204,599"
05/12/2023,"310.13","313.00","306.09","308.97","124,192,357"
05/05/2023,"306.97","311.97","303.40","310.65","120,776,260"
04/28/2023,"282.09","308.93","275.37","307.26","219,914,678"
04/21/2023,"289.93","291.76","283.06","285.76","106,069,091"
04/14/2023,"289.21","289.90","281.64","286.14","122,993,610"
04/06/2023,"286.52","292.08","282.03","291.60","102,542,741"
03/31/2023,"280.50","289.27","272.05","288.30","131,625,280"
03/24/2023,"276.98","281.06","269.52","280.57","177,709,515"
03/17/2023,"247.40","283.33","245.73","279.43","237,347,563"
03/10/2023,"256.43","260.12","247.60","248.59","117,910,572"
03/03/2023,"252.46","255.62","245.61","255.29","126,840,039"
02/24/2023,"254.48","256.84","248.10","249.22","105,098,510"
02/17/2023,"267.64","274.97","256.00","258.06","170,244,684"
02/10/2023,"257.44","276.76","254.78","263.10","196,239,006"
02/03/2023,"244.51","264.69","242.20","258.35","152,686,050"
01/27/2023,"241.10","249.83","230.90","248.16","198,648,458"
01/20/2023,"237.97","242.38","230.68","240.22","123,872,787"
01/13/2023,"226.45","239.90","226.41","239.23","131,675,750"
01/06/2023,"243.08","245.75","219.35","224.93","159,562,617"
12/30/2022,"238.70","241.92","234.17","239.82","75,854,910"
12/23/2022,"244.86","245.62","233.87","238.73","128,396,489"
12/16/2022,"247.45","263.92","243.51","244.69","229,942,961"
12/09/2022,"252.01","253.82","242.21","245.42","109,602,039"
12/02/2022,"246.08","256.12","238.21","255.02","137,930,859"
11/25/2022,"241.43","248.70","240.71","247.49","74,769,631"
11/18/2022,"241.99","247.00","237.63","241.22","137,343,788"
11/11/2022,"221.99","247.99","221.28","247.11","170,431,707"
11/04/2022,"233.76","235.74","213.43","221.39","170,779,529"
10/28/2022,"243.76","251.04","225.78","235.87","223,443,942"
10/21/2022,"235.82","243.93","234.29","242.12","122,568,309"
10/14/2022,"233.05","237.24","219.13","228.56","154,871,907"
10/07/2022,"235.41","250.58","233.17","234.24","142,125,415"
09/30/2022,"237.05","242.33","232.73","232.90","146,921,661"
09/23/2022,"237.87","243.86","235.20","237.92","65,237,207"
