Date,Open,High,Low,Close,Volume
09/22/2023,"395.50","399.47","378.36","379.81","21,907,563"
09/15/2023,"443.07","449.89","395.03","396.94","37,706,606"
09/08/2023,"438.39","453.45","436.70","442.80","15,645,168"
09/01/2023,"418.04","445.50","413.27","439.88","19,637,029"
08/25/2023,"402.23","437.02","399.50","416.03","26,718,316"
08/18/2023,"421.99","429.12","398.15","404.53","21,644,647"
08/11/2023,"436.46","443.57","421.33","421.66","21,790,658"
08/04/2023,"426.51","445.25","426.27","431.60","28,936,064"
07/28/2023,"425.00","430.88","411.88","425.78","32,174,058"
07/21/2023,"445.57","485.00","423.19","427.50","82,424,241"
07/14/2023,"438.52","456.48","431.04","441.91","27,911,288"
07/07/2023,"439.76","450.97","430.72","438.10","19,713,911"
06/30/2023,"422.44","444.12","411.50","440.49","30,548,134"
06/23/2023,"430.18","440.00","417.73","424.02","23,079,600"
06/16/2023,"418.83","448.65","416.57","431.96","38,054,991"
06/09/2023,"400.47","425.90","396.34","420.02","42,535,252"
06/02/2023,"397.48","407.52","385.79","400.47","30,915,563"
05/26/2023,"365.36","383.76","354.31","378.88","35,869,355"
05/19/2023,"340.62","375.87","329.62","365.36","39,731,583"
05/12/2023,"322.99","348.17","322.03","339.89","29,439,233"
05/05/2023,"329.44","331.23","315.62","322.76","22,594,447"
04/28/2023,"330.20","334.66","317.44","329.93","25,483,649"
04/21/2023,"338.00","338.39","316.10","327.98","62,504,617"
04/14/2023,"335.27","347.14","330.04","338.63","23,425,061"
04/06/2023,"341.83","349.80","332.63","339.33","16,577,809"
03/31/2023,"327.55","345.84","321.28","345.48","34,144,116"
03/24/2023,"299.79","331.83","293.54","328.39","44,465,184"
03/17/2023,"287.34","316.60","285.33","303.50","36,295,565"
03/10/2023,"317.00","323.30","289.00","292.76","26,895,964"
03/03/2023,"323.87","330.00","310.38","315.18","25,604,338"
02/24/2023,"342.85","344.13","314.30","317.15","30,325,903"
02/17/2023,"349.50","363.75","342.44","347.96","26,239,601"
02/10/2023,"363.64","373.83","347.14","347.36","31,729,685"
02/03/2023,"358.44","379.43","348.71","365.90","36,052,487"
01/27/2023,"341.72","369.02","340.63","360.77","50,170,679"
01/20/2023,"331.08","344.00","313.39","342.50","63,499,641"
01/13/2023,"316.83","336.65","311.07","332.82","48,561,665"
01/06/2023,"298.06","316.77","288.70","315.55","33,397,247"
12/30/2022,"293.19","295.50","273.41","294.88","28,897,886"
12/23/2022,"289.73","300.66","280.81","294.97","31,565,254"
12/16/2022,"320.00","332.72","286.55","290.71","60,252,942"
12/09/2022,"316.46","329.00","302.10","320.01","45,009,414"
12/02/2022,"284.00","321.99","275.94","320.41","53,919,513"
11/25/2022,"291.00","292.47","277.34","285.54","22,656,567"
11/18/2022,"290.00","312.71","287.00","287.98","58,877,214"
11/11/2022,"261.06","290.66","252.09","290.13","42,118,010"
11/04/2022,"295.13","299.70","255.32","260.79","42,971,217"
10/28/2022,"290.23","305.63","280.36","295.72","68,749,527"
10/21/2022,"234.41","290.75","234.40","289.57","135,615,973"
10/14/2022,"225.64","238.80","211.73","230.00","71,024,605"
10/07/2022,"237.85","245.80","224.28","224.75","52,403,991"
09/30/2022,"225.60","246.98","220.72","235.44","64,419,727"
09/23/2022,"235.35","240.50","221.43","226.41","21,225,200"
