Date,Open,High,Low,Close,Volume
09/22/2023,"551,304","553,097","545,410","546,215","8,090"
09/21/2023,"555,476","558,032","550,500","551,030","7,825"
09/20/2023,"563,549","564,862","556,250","556,580","7,853"
09/19/2023,"563,542","566,570","559,100","563,073","7,764"
09/18/2023,"559,862","563,445","557,963","562,800","10,082"
09/15/2023,"559,749","563,136","557,471","559,500","8,343"
09/14/2023,"560,729","562,481","558,568","561,740","7,604"
09/13/2023,"560,065","562,459","555,001","557,955","7,697"
09/12/2023,"554,000","561,662","554,000","557,415","8,293"
09/11/2023,"553,847","556,900","552,243","555,309","10,014"
09/08/2023,"549,384","553,220","547,336","551,405","7,375"
09/07/2023,"544,902","551,327","544,902","548,930","7,420"
09/06/2023,"546,197","550,112","544,520","548,660","7,573"
09/05/2023,"551,497","557,027","546,000","546,627","10,660"
09/01/2023,"548,601","550,995","546,454","550,000","8,160"
08/31/2023,"549,652","551,113","545,082","546,725","7,577"
08/30/2023,"544,250","551,278","542,615","547,348","7,376"
08/29/2023,"539,294","543,900","537,000","543,593","7,007"
08/28/2023,"542,060","544,160","538,000","539,605","8,952"
08/25/2023,"540,973","542,000","535,850","540,000","7,040"
08/24/2023,"537,308","541,885","535,111","537,780","6,617"
08/23/2023,"533,077","537,811","531,294","537,150","6,400"
08/22/2023,"535,932","537,000","530,865","531,840","6,754"
08/21/2023,"537,448","539,061","531,000","534,700","9,177"
08/18/2023,"533,891","537,715","531,970","535,817","7,190"
08/17/2023,"537,859","541,182","529,000","535,821","6,842"
08/16/2023,"537,721","544,050","535,939","537,497","6,922"
08/15/2023,"542,377","544,493","536,555","538,107","6,792"
08/14/2023,"544,441","546,225","541,465","543,150","8,734"
08/11/2023,"541,216","545,042","536,800","542,900","7,430"
08/10/2023,"547,904","551,500","540,995","543,680","7,045"
08/09/2023,"554,551","556,117","543,250","545,280","7,859"
08/08/2023,"547,683","554,000","545,087","553,101","8,077"
08/07/2023,"540,676","555,800","538,323","551,920","11,299"
08/04/2023,"540,021","541,774","532,550","533,600","7,670"
08/03/2023,"532,482","541,000","531,000","541,000","6,783"
08/02/2023,"533,879","535,561","531,000","533,800","6,922"
08/01/2023,"540,179","540,179","533,101","534,400","7,091"
07/31/2023,"535,187","538,499","532,000","535,400","9,043"
07/28/2023,"534,222","536,563","531,889","533,113","6,853"
07/27/2023,"533,273","535,555","531,500","531,650","6,630"
07/26/2023,"529,063","533,000","526,126","531,900","6,458"
07/25/2023,"532,268","534,299","526,271","528,453","7,023"
07/24/2023,"532,484","535,433","524,251","532,647","9,459"
07/21/2023,"526,401","529,825","523,925","527,750","7,632"
07/20/2023,"520,374","526,938","518,403","526,240","6,749"
07/19/2023,"523,858","528,554","519,753","520,500","7,115"
07/18/2023,"523,265","528,000","521,743","524,750","6,431"
07/17/2023,"518,473","525,000","516,972","523,500","8,482"
07/14/2023,"524,262","525,907","517,295","517,408","7,055"
07/13/2023,"525,806","527,367","521,758","521,833","6,894"
07/12/2023,"523,772","526,000","522,315","525,400","6,619"
07/11/2023,"518,197","522,055","516,914","521,385","6,324"
07/10/2023,"520,365","525,412","516,953","517,136","8,967"
07/07/2023,"519,227","525,000","517,617","521,620","6,563"
07/06/2023,"517,297","521,000","513,874","519,800","6,187"
07/05/2023,"518,015","522,340","515,001","521,000","7,733"
07/03/2023,"519,086","520,000","514,585","519,460","8,207"
06/30/2023,"514,571","520,500","513,645","517,810","6,943"
06/29/2023,"508,229","512,260","506,527","512,260","5,863"
06/28/2023,"511,385","512,479","505,000","506,650","6,515"
06/27/2023,"507,983","511,295","506,537","510,580","5,485"
06/26/2023,"507,861","512,132","504,112","507,000","8,291"
06/23/2023,"513,634","513,634","507,100","510,000","6,199"
06/22/2023,"516,040","519,064","509,058","511,480","6,457"
06/21/2023,"514,802","519,722","512,636","515,515","6,684"
06/20/2023,"515,413","518,314","512,436","515,000","8,414"
06/16/2023,"522,000","522,000","513,368","514,000","6,534"
06/15/2023,"514,770","522,000","510,000","516,391","6,493"
06/14/2023,"519,500","521,898","509,268","510,000","6,798"
06/13/2023,"507,627","514,000","505,531","513,656","5,933"
06/12/2023,"511,725","515,739","504,490","509,004","8,343"
06/09/2023,"512,625","515,000","510,391","510,840","6,244"
06/08/2023,"511,667","513,851","509,750","512,514","5,868"
06/07/2023,"509,407","512,695","504,649","511,795","6,225"
06/06/2023,"499,063","509,400","497,601","508,200","6,096"
06/05/2023,"502,086","505,613","497,500","498,927","8,140"
06/02/2023,"494,932","503,777","493,283","503,000","6,533"
06/01/2023,"489,307","492,791","486,125","492,000","5,678"
05/31/2023,"488,339","490,541","485,565","488,024","5,666"
05/30/2023,"489,006","490,572","484,736","489,225","8,123"
05/26/2023,"486,973","489,900","484,811","486,650","5,801"
05/25/2023,"484,591","490,300","482,500","484,000","5,653"
05/24/2023,"491,536","494,039","484,394","486,545","5,968"
05/23/2023,"499,999","502,200","490,950","491,980","6,082"
05/22/2023,"506,673","509,654","500,697","501,149","9,705"
