Date,Open,High,Low,Close,Volume
09/22/2023,"369.33","373.34","359.76","360.16","15,159,703"
09/15/2023,"364.87","370.84","364.51","367.86","24,387,367"
09/08/2023,"363.88","366.47","359.26","363.15","11,921,436"
09/01/2023,"357.89","363.39","354.01","362.46","12,562,804"
08/25/2023,"354.09","357.35","349.61","355.93","11,815,242"
08/18/2023,"358.25","358.95","351.25","352.56","12,777,064"
08/11/2023,"355.73","364.63","353.20","358.35","18,817,741"
08/04/2023,"350.73","355.11","349.39","349.99","13,795,035"
07/28/2023,"346.77","351.27","345.54","349.81","14,156,742"
07/21/2023,"341.09","347.62","341.09","345.76","14,417,499"
07/14/2023,"340.48","346.44","339.87","341.09","14,130,748"
07/07/2023,"340.75","344.07","338.41","340.90","10,415,549"
06/30/2023,"335.17","342.50","331.84","341.00","16,086,317"
06/23/2023,"338.15","341.35","334.19","335.25","16,018,818"
06/16/2023,"335.16","341.68","332.20","338.31","23,599,681"
06/09/2023,"330.89","337.59","327.57","335.29","15,667,562"
06/02/2023,"321.86","330.67","319.00","329.48","16,748,565"
05/26/2023,"330.75","331.49","317.71","320.60","17,351,965"
05/19/2023,"322.89","333.94","320.13","330.39","14,511,098"
05/12/2023,"328.26","330.69","319.81","322.49","12,718,054"
05/05/2023,"329.16","331.84","317.41","323.88","15,566,627"
04/28/2023,"324.43","328.81","319.00","328.55","13,401,527"
04/21/2023,"320.20","325.72","319.00","324.33","14,254,930"
04/14/2023,"311.41","321.88","310.34","319.74","14,407,460"
04/06/2023,"309.25","313.22","307.07","312.51","13,051,292"
03/31/2023,"300.88","308.81","298.97","308.77","16,641,546"
03/24/2023,"295.57","307.05","293.39","298.92","21,796,521"
03/17/2023,"301.75","307.55","292.42","293.51","39,353,140"
03/10/2023,"312.82","317.29","301.92","303.63","20,441,523"
03/03/2023,"304.37","312.66","301.45","312.45","19,438,666"
02/24/2023,"306.17","307.30","300.01","304.02","13,431,053"
02/17/2023,"310.30","314.10","305.48","308.24","14,107,871"
02/10/2023,"308.25","314.15","305.28","309.89","16,412,569"
02/03/2023,"307.60","312.67","305.79","308.51","20,469,233"
01/27/2023,"309.63","313.68","306.85","309.17","13,516,228"
01/20/2023,"318.40","318.52","303.86","309.87","14,275,522"
01/13/2023,"319.02","321.32","313.34","317.64","16,299,412"
01/06/2023,"310.07","320.16","307.38","318.69","15,740,498"
12/30/2022,"306.45","309.38","303.26","308.90","11,507,344"
12/23/2022,"300.51","308.54","297.00","306.49","16,221,984"
12/16/2022,"307.55","318.91","297.76","300.00","26,884,608"
12/09/2022,"315.22","315.66","304.71","306.39","17,526,926"
12/02/2022,"316.25","319.56","308.70","316.15","23,279,991"
11/25/2022,"310.81","319.12","308.58","317.43","10,566,373"
11/18/2022,"310.00","313.89","304.15","310.76","18,446,526"
11/11/2022,"290.92","311.33","288.06","309.72","22,117,397"
11/04/2022,"297.98","298.89","282.38","287.47","19,577,122"
10/28/2022,"284.10","299.98","283.99","299.63","19,238,322"
10/21/2022,"276.48","283.36","271.46","282.51","20,881,787"
10/14/2022,"269.89","279.22","259.85","272.67","19,674,088"
10/07/2022,"269.52","281.30","267.16","269.04","20,560,988"
09/30/2022,"265.82","273.60","261.55","267.02","27,912,429"
09/23/2022,"271.03","271.50","264.24","267.77","9,299,017"
