Date,Open,High,Low,Close,Volume
09/22/2023,"112.90","113.20","111.07","111.25","4,988,319"
09/21/2023,"113.95","114.34","112.06","112.99","4,598,076"
09/20/2023,"116.53","117.67","114.82","114.85","4,099,397"
09/19/2023,"116.02","116.68","115.22","116.21","3,098,646"
09/18/2023,"115.78","117.43","114.92","116.57","3,751,814"
09/15/2023,"115.42","115.91","114.20","115.49","6,733,494"
09/14/2023,"114.37","117.21","114.32","115.65","5,297,480"
09/13/2023,"114.69","115.36","112.64","113.60","2,800,154"
09/12/2023,"114.25","116.82","114.00","115.00","4,210,125"
09/11/2023,"112.25","114.30","112.12","114.26","4,207,939"
09/08/2023,"111.50","112.03","111.22","111.72","2,531,102"
09/07/2023,"112.22","113.15","111.41","111.79","3,303,340"
09/06/2023,"112.85","114.07","111.93","112.68","4,004,815"
09/05/2023,"113.69","114.19","112.31","112.88","3,516,798"
09/01/2023,"115.02","115.46","113.53","114.24","3,539,620"
08/31/2023,"114.58","114.94","113.81","114.46","4,165,040"
08/30/2023,"114.85","115.58","113.95","114.31","4,857,833"
08/29/2023,"113.67","115.67","112.92","115.33","4,655,333"
08/28/2023,"112.55","114.28","112.15","113.96","2,812,736"
08/25/2023,"111.45","112.37","110.22","111.97","3,115,353"
08/24/2023,"113.20","113.96","111.02","111.04","3,361,675"
08/23/2023,"111.50","113.76","111.50","113.47","2,847,582"
08/22/2023,"112.15","113.05","110.84","111.66","2,640,617"
08/21/2023,"112.04","112.48","111.02","112.02","2,941,813"
08/18/2023,"110.30","111.93","110.02","111.79","4,510,192"
08/17/2023,"113.98","114.39","110.94","110.96","4,576,995"
08/16/2023,"113.73","115.34","113.47","113.57","3,683,052"
08/15/2023,"114.65","114.66","113.47","113.85","3,413,058"
08/14/2023,"114.50","115.85","114.20","115.55","3,923,408"
08/11/2023,"113.54","115.39","113.45","114.60","3,562,235"
08/10/2023,"112.45","115.04","112.45","113.57","4,671,812"
08/09/2023,"113.90","113.93","111.98","112.17","3,112,650"
08/08/2023,"114.39","114.83","113.12","113.55","3,779,300"
08/07/2023,"113.54","114.98","113.54","114.73","3,304,814"
08/04/2023,"112.82","113.87","111.80","113.06","4,882,928"
08/03/2023,"111.83","113.17","111.55","112.36","3,470,496"
08/02/2023,"112.97","113.50","111.93","111.97","4,292,398"
08/01/2023,"113.69","114.20","112.27","113.22","5,264,517"
07/31/2023,"114.44","114.75","113.72","114.24","4,126,090"
07/28/2023,"115.53","115.85","114.02","114.39","4,471,857"
07/27/2023,"115.56","117.26","114.93","115.42","6,187,043"
07/26/2023,"117.14","117.39","113.45","114.72","7,541,664"
07/25/2023,"114.50","117.96","113.63","117.16","17,022,369"
07/24/2023,"110.40","110.98","110.06","110.25","5,337,018"
07/21/2023,"111.44","111.88","109.82","110.33","8,202,037"
07/20/2023,"110.04","111.84","109.96","111.24","4,117,281"
07/19/2023,"110.33","110.81","108.83","109.89","4,473,150"
07/18/2023,"110.90","111.83","110.52","111.06","3,573,947"
07/17/2023,"110.42","112.15","110.15","111.14","3,637,944"
07/14/2023,"111.00","111.22","110.03","110.28","2,717,867"
07/13/2023,"111.25","111.82","110.82","111.28","2,775,176"
07/12/2023,"111.29","111.97","110.89","111.20","4,312,755"
07/11/2023,"110.73","111.53","110.23","111.22","3,789,989"
07/10/2023,"108.41","110.73","108.37","110.53","4,633,206"
07/07/2023,"107.14","108.87","106.94","108.27","3,865,778"
07/06/2023,"108.01","108.75","106.86","107.37","3,667,100"
07/05/2023,"108.22","108.99","107.76","108.65","3,662,234"
07/03/2023,"109.06","109.33","107.31","108.28","2,972,029"
06/30/2023,"108.99","110.26","108.60","109.85","7,382,808"
06/29/2023,"106.22","107.83","106.04","107.74","3,248,774"
06/28/2023,"105.29","107.37","104.97","107.05","4,795,723"
06/27/2023,"104.63","105.21","104.36","104.92","4,767,520"
06/26/2023,"103.53","105.11","103.36","104.45","4,250,905"
06/23/2023,"103.09","104.37","102.64","103.78","6,012,099"
06/22/2023,"104.66","105.79","104.64","104.82","4,223,879"
06/21/2023,"103.64","105.69","103.58","105.05","4,775,372"
06/20/2023,"106.08","106.21","103.41","104.02","6,439,760"
06/16/2023,"105.95","108.90","105.94","106.29","10,959,070"
06/15/2023,"104.44","105.64","103.99","105.41","6,969,784"
06/14/2023,"106.72","106.80","103.96","104.70","5,131,062"
06/13/2023,"106.03","107.15","105.81","106.74","4,318,941"
06/12/2023,"106.31","106.89","105.65","106.23","3,734,137"
06/09/2023,"106.29","106.55","105.08","106.30","3,486,211"
06/08/2023,"105.84","107.22","105.63","106.07","3,573,784"
06/07/2023,"106.64","107.33","105.64","106.08","7,279,386"
06/06/2023,"104.33","106.11","104.10","105.46","6,220,315"
06/05/2023,"105.80","105.85","104.10","104.10","4,395,387"
06/02/2023,"105.50","106.71","104.54","105.80","5,967,665"
06/01/2023,"101.21","105.17","101.07","104.67","6,222,705"
05/31/2023,"101.32","101.84","99.71","101.53","10,661,470"
05/30/2023,"103.02","103.07","100.66","102.40","5,665,085"
05/26/2023,"101.59","103.95","101.56","102.74","5,424,211"
05/25/2023,"101.40","102.09","100.54","101.52","5,377,106"
05/24/2023,"101.28","101.47","99.91","100.98","5,008,286"
05/23/2023,"103.86","104.14","101.28","101.70","4,579,608"
05/22/2023,"104.10","105.94","104.10","104.55","3,987,255"
05/19/2023,"104.52","105.78","103.84","104.26","5,770,716"
05/18/2023,"102.89","104.28","101.73","104.01","4,606,805"
05/17/2023,"101.87","103.58","101.55","103.47","5,484,195"
05/16/2023,"101.23","102.23","100.89","101.13","4,409,063"
05/15/2023,"99.14","102.31","99.02","102.00","6,363,672"
05/12/2023,"99.58","100.00","97.71","98.80","3,458,028"
05/11/2023,"99.40","99.98","98.82","99.51","4,084,424"
05/10/2023,"101.48","101.67","98.46","99.54","4,032,922"
05/09/2023,"100.77","101.90","100.77","101.00","5,204,086"
05/08/2023,"100.22","101.11","100.22","100.92","3,417,539"
05/05/2023,"100.58","101.76","99.75","100.24","5,030,249"
05/04/2023,"101.49","101.75","97.41","99.32","7,226,963"
05/03/2023,"101.88","102.95","101.31","101.77","4,722,727"
05/02/2023,"100.61","102.03","100.19","101.51","5,973,679"
05/01/2023,"99.49","102.00","99.37","101.18","5,912,435"
04/28/2023,"97.13","99.72","96.88","98.97","5,011,348"
04/27/2023,"97.02","98.19","96.60","98.06","7,460,980"
04/26/2023,"98.23","98.45","96.09","96.21","6,410,510"
04/25/2023,"101.95","102.01","97.55","98.44","9,297,450"
04/24/2023,"99.58","100.77","99.58","100.15","6,251,841"
04/21/2023,"99.98","100.08","99.13","99.51","4,080,409"
04/20/2023,"99.30","100.47","99.06","99.76","6,912,363"
04/19/2023,"98.58","99.31","98.42","99.03","5,617,031"
04/18/2023,"97.00","98.52","96.86","98.47","7,110,832"
04/17/2023,"95.62","96.85","95.48","96.77","6,126,077"
04/14/2023,"93.86","95.64","93.81","95.44","5,755,636"
04/13/2023,"94.38","94.69","93.47","94.30","8,814,584"
04/12/2023,"94.26","94.67","93.81","94.10","6,997,746"
04/11/2023,"94.51","94.96","93.88","93.91","5,317,712"
04/10/2023,"93.83","94.99","93.61","94.36","5,985,450"
04/06/2023,"94.12","94.39","93.54","93.60","6,404,896"
04/05/2023,"94.98","95.32","93.66","94.25","8,493,362"
04/04/2023,"96.96","97.87","94.67","95.05","6,827,562"
04/03/2023,"95.75","96.94","95.36","96.92","4,947,651"
03/31/2023,"94.53","95.67","94.31","95.60","7,380,208"
03/30/2023,"93.95","94.31","93.56","94.05","5,285,770"
03/29/2023,"93.97","94.42","93.67","94.06","4,918,016"
03/28/2023,"93.34","93.74","92.56","93.14","4,008,947"
03/27/2023,"92.28","93.64","92.11","93.31","6,005,212"
03/24/2023,"90.57","92.35","90.32","91.37","6,658,468"
03/23/2023,"90.63","92.95","90.53","91.59","8,646,975"
03/22/2023,"92.49","92.60","89.55","89.59","7,010,966"
03/21/2023,"90.98","93.04","90.96","92.18","6,826,828"
03/20/2023,"90.63","91.23","89.41","89.92","6,947,558"
03/17/2023,"91.79","91.83","89.35","90.29","10,188,100"
03/16/2023,"89.40","92.10","88.57","91.97","8,129,023"
03/15/2023,"88.99","89.76","86.45","89.76","12,057,290"
03/14/2023,"91.17","93.08","90.20","91.17","11,347,540"
03/13/2023,"89.70","90.73","87.66","88.97","11,333,980"
03/10/2023,"91.90","94.20","90.79","91.00","18,477,750"
03/09/2023,"89.96","94.94","89.77","91.56","28,592,301"
03/08/2023,"86.77","87.41","86.07","86.98","6,063,944"
03/07/2023,"86.96","87.58","86.10","86.39","6,898,172"
03/06/2023,"86.64","87.82","86.47","87.06","6,451,968"
03/03/2023,"85.90","87.04","85.15","86.38","7,676,613"
03/02/2023,"83.60","85.73","83.38","85.72","6,821,562"
03/01/2023,"84.66","85.36","83.75","84.14","5,995,956"
02/28/2023,"83.62","85.65","83.46","84.71","9,131,030"
02/27/2023,"84.00","84.86","83.49","83.84","6,390,540"
02/24/2023,"81.76","83.78","81.65","83.55","6,946,984"
02/23/2023,"83.49","84.41","81.90","82.94","8,077,229"
02/22/2023,"82.16","84.33","82.10","83.19","8,642,532"
02/21/2023,"82.14","83.38","81.81","82.26","4,071,752"
02/17/2023,"83.59","83.82","82.23","83.04","4,424,429"
02/16/2023,"83.61","84.54","82.98","84.05","4,505,862"
02/15/2023,"82.61","84.79","82.44","84.77","5,831,392"
02/14/2023,"82.13","83.81","81.96","83.54","5,368,512"
02/13/2023,"81.20","82.92","81.08","82.68","4,081,592"
02/10/2023,"80.81","81.35","80.40","81.29","3,490,237"
02/09/2023,"82.34","82.63","80.44","80.79","3,861,544"
02/08/2023,"81.69","82.60","81.30","81.96","3,407,624"
02/07/2023,"81.98","82.37","80.54","82.11","4,702,253"
02/06/2023,"81.47","82.44","81.24","82.35","4,329,694"
02/03/2023,"83.51","83.69","81.82","81.96","5,778,181"
02/02/2023,"82.19","84.03","81.90","83.94","8,293,043"
02/01/2023,"80.27","82.47","80.01","82.32","7,272,316"
01/31/2023,"80.45","80.91","79.47","80.48","6,883,537"
01/30/2023,"82.41","82.75","80.67","80.83","5,726,899"
01/27/2023,"81.00","83.99","80.90","83.23","7,789,511"
01/26/2023,"81.48","81.58","80.12","81.14","6,511,229"
01/25/2023,"79.78","81.35","79.43","80.79","8,501,503"
01/24/2023,"78.00","80.85","77.47","80.70","13,381,780"
01/23/2023,"77.61","80.02","77.54","79.77","10,957,450"
01/20/2023,"77.59","77.75","75.67","77.68","8,261,345"
01/19/2023,"77.94","78.75","76.67","76.86","10,411,670"
01/18/2023,"80.94","81.18","79.14","79.27","7,834,262"
01/17/2023,"79.92","80.66","79.76","80.49","8,492,203"
01/13/2023,"78.78","80.60","78.50","80.20","11,048,210"
01/12/2023,"77.88","79.21","77.29","78.86","11,498,680"
01/11/2023,"75.82","77.70","75.51","77.69","10,159,260"
01/10/2023,"72.20","75.37","72.20","75.27","9,255,525"
01/09/2023,"72.00","73.91","71.96","72.67","7,572,883"
01/06/2023,"72.01","72.33","70.75","71.94","10,389,470"
01/05/2023,"69.90","71.55","69.00","71.29","12,770,160"
01/04/2023,"68.41","70.20","66.75","70.20","16,784,590"
01/03/2023,"65.59","66.40","65.19","66.31","6,405,106"
12/30/2022,"64.70","65.57","64.60","65.38","4,127,747"
12/29/2022,"64.18","65.48","63.99","65.35","4,416,364"
12/28/2022,"64.76","64.90","63.44","63.96","3,869,533"
12/27/2022,"63.99","64.83","63.91","64.64","4,239,477"
12/23/2022,"63.76","64.29","63.18","63.82","3,293,379"
12/22/2022,"64.13","64.54","62.65","63.81","6,062,220"
12/21/2022,"63.24","65.23","63.19","64.75","7,555,628"
12/20/2022,"60.90","63.05","60.75","62.68","6,975,669"
12/19/2022,"60.28","61.14","60.24","60.91","4,399,175"
12/16/2022,"60.70","61.14","59.85","60.59","9,954,897"
12/15/2022,"62.48","63.37","61.26","61.50","9,719,586"
12/14/2022,"64.28","65.03","63.47","63.57","7,645,555"
12/13/2022,"65.99","66.25","63.93","64.67","7,720,015"
12/12/2022,"63.77","64.97","63.23","64.93","4,660,217"
12/09/2022,"65.25","65.39","63.47","63.56","5,544,340"
12/08/2022,"66.80","67.26","64.52","65.26","6,438,447"
12/07/2022,"66.33","67.17","66.19","66.33","4,860,628"
12/06/2022,"67.59","67.97","65.92","66.55","5,883,866"
12/05/2022,"66.98","67.15","66.03","66.06","4,715,418"
12/02/2022,"65.99","67.85","65.87","67.80","4,480,434"
12/01/2022,"67.27","67.59","66.23","66.53","4,240,695"
11/30/2022,"66.83","67.38","64.92","67.09","7,260,816"
11/29/2022,"66.91","67.05","66.30","66.84","4,489,124"
11/28/2022,"68.05","68.33","66.45","66.70","4,284,264"
11/25/2022,"68.44","68.97","68.16","68.78","1,894,075"
11/23/2022,"67.91","68.64","67.84","68.57","3,655,685"
11/22/2022,"67.34","68.35","67.11","68.12","4,234,987"
11/21/2022,"66.41","67.11","66.12","67.02","3,269,761"
11/18/2022,"67.49","68.01","66.21","66.70","4,084,167"
11/17/2022,"65.35","66.93","64.93","66.63","4,653,063"
11/16/2022,"67.76","67.84","66.06","66.25","4,753,177"
11/15/2022,"67.53","68.37","67.28","68.00","4,930,201"
11/14/2022,"67.09","67.97","66.85","66.98","4,912,635"
11/11/2022,"66.94","67.72","66.45","67.35","7,781,767"
11/10/2022,"66.51","66.85","65.67","66.63","8,589,091"
11/09/2022,"64.94","66.17","64.69","64.89","4,960,261"
11/08/2022,"65.39","66.10","64.50","65.55","6,262,775"
11/07/2022,"63.29","65.42","63.26","65.13","8,014,632"
11/04/2022,"62.42","63.33","61.98","63.26","7,201,102"
11/03/2022,"59.98","61.48","59.75","61.16","8,689,492"
11/02/2022,"60.94","62.16","60.30","60.40","6,375,172"
11/01/2022,"61.30","62.50","60.44","61.03","5,715,776"
10/31/2022,"60.69","61.54","60.51","60.72","6,594,881"
10/28/2022,"59.84","61.16","59.76","61.12","5,387,941"
10/27/2022,"59.54","60.58","59.22","59.31","6,295,878"
10/26/2022,"57.19","59.80","57.11","58.88","8,084,626"
10/25/2022,"58.53","58.72","55.47","56.96","9,622,552"
10/24/2022,"56.96","57.99","56.79","57.25","6,799,559"
10/21/2022,"54.62","56.89","54.43","56.82","6,449,775"
10/20/2022,"55.22","55.88","54.50","54.60","5,987,288"
10/19/2022,"54.83","55.39","54.11","55.04","5,238,467"
10/18/2022,"54.77","55.51","54.57","55.17","6,109,675"
10/17/2022,"53.80","54.77","53.40","53.55","5,141,091"
10/14/2022,"53.30","53.67","52.43","52.73","5,674,544"
10/13/2022,"49.70","53.34","49.31","53.02","7,986,399"
10/12/2022,"49.70","51.05","49.21","50.52","5,357,097"
10/11/2022,"50.32","50.93","49.22","49.94","5,295,931"
10/10/2022,"50.76","51.21","49.99","50.71","3,591,391"
10/07/2022,"51.20","51.33","50.02","50.38","4,271,647"
10/06/2022,"52.07","52.66","51.34","51.67","4,955,130"
10/05/2022,"52.04","53.22","51.54","52.63","5,811,539"
10/04/2022,"50.63","52.78","50.62","52.70","7,751,260"
10/03/2022,"48.97","50.24","48.49","49.63","5,433,824"
09/30/2022,"48.88","49.39","48.29","48.31","7,917,975"
