Date,Open,High,Low,Close,Volume
09/22/2023,"404.39","406.85","401.56","402.22","1,885,064"
09/21/2023,"408.34","408.77","402.10","403.36","2,451,064"
09/20/2023,"413.77","415.85","410.08","410.52","1,580,643"
09/19/2023,"416.96","417.10","411.10","413.53","1,731,089"
09/18/2023,"413.88","417.89","413.04","417.13","1,808,118"
09/15/2023,"411.86","418.30","411.14","414.31","4,755,526"
09/14/2023,"418.30","418.60","407.78","413.34","3,557,785"
09/13/2023,"416.17","418.41","414.97","416.30","2,142,220"
09/12/2023,"415.95","417.65","415.25","416.27","1,997,630"
09/11/2023,"416.85","417.59","414.64","416.69","1,544,746"
09/08/2023,"415.00","416.33","413.86","414.84","1,869,468"
09/07/2023,"411.92","416.13","411.73","414.62","2,502,686"
09/06/2023,"410.78","413.38","408.89","413.18","2,292,121"
09/05/2023,"413.35","415.40","409.70","411.50","2,045,555"
09/01/2023,"413.84","416.51","412.49","415.57","1,841,670"
08/31/2023,"414.21","416.29","411.78","412.64","2,535,134"
08/30/2023,"414.78","417.78","413.52","413.91","2,516,721"
08/29/2023,"407.42","412.19","406.59","411.65","2,188,937"
08/28/2023,"404.00","407.80","403.15","407.44","1,901,274"
08/25/2023,"400.65","404.62","399.00","402.89","2,154,774"
08/24/2023,"401.59","404.00","397.50","397.67","1,970,016"
08/23/2023,"399.27","401.92","398.36","401.06","1,943,221"
08/22/2023,"395.00","398.77","393.68","397.84","2,422,581"
08/21/2023,"393.21","394.99","391.02","393.20","1,869,502"
08/18/2023,"389.82","393.84","388.83","392.17","2,001,800"
08/17/2023,"396.14","396.21","390.99","392.62","2,118,703"
08/16/2023,"393.44","399.20","393.12","394.37","2,002,011"
08/15/2023,"397.49","397.49","393.59","394.45","1,753,282"
08/14/2023,"396.45","399.23","394.61","398.58","1,638,575"
08/11/2023,"395.75","396.67","392.81","394.98","1,464,655"
08/10/2023,"396.46","400.63","395.71","397.14","2,154,471"
08/09/2023,"393.86","396.79","391.87","393.67","1,806,063"
08/08/2023,"396.18","396.38","390.13","393.19","1,747,173"
08/07/2023,"393.00","397.75","393.00","396.87","1,559,899"
08/04/2023,"391.61","396.09","390.07","391.35","2,215,814"
08/03/2023,"387.56","393.44","386.42","393.01","2,190,534"
08/02/2023,"393.88","394.21","389.58","390.02","2,410,676"
08/01/2023,"393.78","397.30","392.36","397.07","2,344,258"
07/31/2023,"393.97","396.08","392.47","394.28","3,578,342"
07/28/2023,"397.96","398.00","388.88","392.96","4,501,094"
07/27/2023,"405.19","405.19","393.95","394.50","3,563,319"
07/26/2023,"399.18","403.31","395.75","402.41","2,572,262"
07/25/2023,"403.37","404.86","401.00","401.28","2,490,524"
07/24/2023,"397.48","404.91","396.61","404.79","3,029,808"
07/21/2023,"398.67","401.51","397.42","397.49","1,868,149"
07/20/2023,"397.14","399.72","395.55","398.06","2,570,771"
07/19/2023,"398.00","399.85","396.31","398.27","1,809,748"
07/18/2023,"400.42","401.94","395.21","398.16","2,676,239"
07/17/2023,"401.95","404.00","401.12","402.20","2,344,566"
07/14/2023,"402.12","403.49","400.30","402.51","1,978,498"
07/13/2023,"403.00","403.24","400.46","400.56","2,354,875"
07/12/2023,"399.00","403.17","398.71","400.69","2,273,532"
07/11/2023,"393.62","398.46","392.34","397.80","2,106,362"
07/10/2023,"388.48","393.43","388.01","392.16","2,148,582"
07/07/2023,"390.66","392.45","388.40","388.68","2,654,516"
07/06/2023,"393.83","394.21","389.74","393.14","2,156,894"
07/05/2023,"388.81","395.25","387.13","394.73","2,781,997"
07/03/2023,"391.34","394.31","388.68","393.96","1,304,646"
06/30/2023,"388.10","395.17","388.10","393.30","4,407,142"
06/29/2023,"380.85","388.01","380.50","387.67","2,524,838"
06/28/2023,"381.19","381.40","378.67","380.23","2,012,435"
06/27/2023,"380.34","382.84","379.01","381.79","2,197,373"
06/26/2023,"378.06","379.99","375.35","377.42","3,327,849"
06/23/2023,"374.98","381.12","373.22","379.81","3,739,720"
06/22/2023,"375.11","378.48","373.95","377.80","1,934,457"
06/21/2023,"373.96","378.39","373.66","376.14","2,301,314"
06/20/2023,"375.01","379.51","373.75","374.62","3,961,765"
06/16/2023,"381.61","382.90","376.16","376.53","5,882,364"
06/15/2023,"373.27","379.57","370.52","379.04","2,558,125"
06/14/2023,"372.93","378.08","372.02","374.76","2,775,463"
06/13/2023,"375.31","377.18","369.81","371.38","2,444,151"
06/12/2023,"370.67","375.97","369.94","375.31","2,407,762"
06/09/2023,"370.46","372.11","367.76","369.22","2,202,370"
06/08/2023,"369.36","369.77","365.85","367.59","2,595,273"
06/07/2023,"379.29","380.50","368.26","371.39","3,714,519"
06/06/2023,"372.95","380.38","371.81","379.96","2,758,722"
06/05/2023,"372.75","373.03","368.53","370.52","2,464,118"
06/02/2023,"374.59","375.82","372.15","373.73","2,501,459"
06/01/2023,"367.16","371.09","366.05","370.88","3,389,808"
05/31/2023,"365.00","365.70","357.85","365.02","10,695,410"
05/30/2023,"376.28","376.63","366.20","367.50","3,430,234"
05/26/2023,"371.00","375.68","370.05","374.37","2,691,345"
05/25/2023,"367.91","370.99","364.91","370.04","3,752,240"
05/24/2023,"369.37","369.61","365.58","368.50","2,655,686"
05/23/2023,"381.52","382.03","370.44","373.75","3,979,249"
05/22/2023,"384.99","387.37","384.18","384.53","1,808,828"
05/19/2023,"392.00","392.20","385.14","385.57","3,369,116"
05/18/2023,"387.11","392.02","385.81","392.02","3,729,697"
05/17/2023,"382.20","387.52","379.13","387.00","3,260,404"
05/16/2023,"382.60","383.60","377.32","380.24","2,762,816"
05/15/2023,"381.87","383.66","380.53","383.41","1,957,649"
05/12/2023,"384.49","385.02","378.80","381.92","2,044,079"
05/11/2023,"382.21","385.72","379.26","383.39","1,901,218"
05/10/2023,"385.99","386.76","377.65","382.54","1,940,761"
05/09/2023,"383.88","386.17","382.70","382.94","2,036,429"
05/08/2023,"384.01","387.46","383.77","385.51","1,719,712"
05/05/2023,"380.57","385.15","378.24","384.66","2,683,136"
05/04/2023,"374.50","376.85","372.14","376.12","2,814,954"
05/03/2023,"376.67","379.55","374.33","374.90","1,970,904"
05/02/2023,"377.77","378.84","370.94","376.03","2,478,715"
05/01/2023,"380.49","382.46","378.96","379.86","1,745,122"
04/28/2023,"372.53","381.93","371.51","380.03","3,107,278"
04/27/2023,"366.58","374.98","361.00","373.67","3,859,931"
04/26/2023,"369.64","372.22","366.09","366.76","2,594,201"
04/25/2023,"373.50","374.58","368.32","368.53","2,244,992"
04/24/2023,"375.15","377.64","373.62","374.73","1,886,286"
04/21/2023,"375.72","377.43","373.26","375.24","3,537,820"
04/20/2023,"371.45","375.19","369.69","375.00","2,125,035"
04/19/2023,"372.99","374.15","371.16","372.80","1,795,447"
04/18/2023,"373.95","373.95","369.96","372.32","2,087,976"
04/17/2023,"373.36","374.10","368.39","372.76","2,432,924"
04/14/2023,"370.00","373.39","369.11","372.43","2,254,716"
04/13/2023,"363.82","369.75","363.39","369.65","2,611,866"
04/12/2023,"366.08","368.60","361.03","361.78","2,268,779"
04/11/2023,"363.42","365.19","361.16","364.13","3,033,867"
04/10/2023,"359.71","360.93","357.58","360.14","1,559,126"
04/06/2023,"361.21","362.04","355.97","361.47","2,357,712"
04/05/2023,"363.48","365.13","361.61","363.79","2,239,771"
04/04/2023,"366.80","369.12","363.38","363.90","2,198,730"
04/03/2023,"362.61","366.66","361.75","366.47","2,978,067"
03/31/2023,"361.13","363.65","360.38","363.41","3,376,796"
03/30/2023,"360.95","362.59","358.24","359.26","2,480,656"
03/29/2023,"357.38","360.03","355.82","359.53","2,327,006"
03/28/2023,"355.56","355.90","352.80","354.33","1,695,997"
03/27/2023,"355.57","357.89","354.28","354.62","2,420,474"
03/24/2023,"350.45","352.42","346.31","351.63","2,971,590"
03/23/2023,"352.41","359.86","351.84","354.37","2,598,053"
03/22/2023,"354.61","360.00","351.03","351.03","2,596,388"
03/21/2023,"354.37","356.20","350.83","354.57","3,766,785"
03/20/2023,"348.00","353.84","347.34","349.32","3,864,278"
03/17/2023,"350.25","351.94","346.86","349.66","8,426,918"
03/16/2023,"346.62","348.69","340.28","348.00","3,768,216"
03/15/2023,"346.05","348.40","343.64","348.08","3,082,755"
03/14/2023,"351.00","356.11","348.56","352.82","3,413,323"
03/13/2023,"343.63","349.86","340.21","344.71","3,308,396"
03/10/2023,"352.41","353.05","345.23","347.11","3,176,505"
03/09/2023,"359.25","364.02","353.91","354.44","2,414,831"
03/08/2023,"358.61","361.70","357.28","359.03","1,634,442"
03/07/2023,"367.17","369.15","359.55","359.94","1,660,771"
03/06/2023,"361.82","368.53","361.26","366.93","2,789,640"
03/03/2023,"358.12","361.69","357.09","361.50","2,174,952"
03/02/2023,"353.63","356.62","351.69","355.57","2,526,001"
03/01/2023,"354.00","355.31","349.39","353.50","1,968,084"
02/28/2023,"354.81","357.80","353.24","355.29","2,733,091"
02/27/2023,"355.64","358.03","354.82","355.48","2,200,873"
02/24/2023,"350.82","354.00","349.59","353.12","2,016,148"
02/23/2023,"357.74","357.74","351.66","355.53","1,975,505"
02/22/2023,"355.36","357.74","353.21","354.97","2,109,544"
02/21/2023,"356.76","361.77","355.19","355.96","2,730,919"
02/17/2023,"364.06","366.70","359.80","361.13","2,719,130"
02/16/2023,"364.90","373.08","364.90","367.55","2,792,721"
02/15/2023,"366.28","369.80","365.01","369.64","2,203,417"
02/14/2023,"369.58","373.41","367.73","369.96","1,841,422"
02/13/2023,"368.56","371.14","367.07","370.83","2,286,551"
02/10/2023,"369.64","370.25","362.92","366.83","2,270,717"
02/09/2023,"373.30","374.57","369.25","370.42","2,287,602"
02/08/2023,"373.17","375.79","370.14","370.35","2,193,818"
02/07/2023,"371.51","377.07","368.84","375.06","2,309,176"
02/06/2023,"370.00","374.33","369.05","372.97","2,068,357"
02/03/2023,"370.80","378.22","370.49","373.91","2,739,672"
02/02/2023,"379.52","380.47","372.80","374.94","2,761,579"
02/01/2023,"368.57","376.78","367.00","374.08","2,951,854"
01/31/2023,"369.99","372.48","367.02","370.60","3,137,379"
01/30/2023,"369.46","373.74","369.40","371.12","2,688,806"
01/27/2023,"376.19","380.52","373.38","374.03","3,405,833"
01/26/2023,"383.41","384.11","373.00","377.24","3,718,355"
01/25/2023,"375.10","382.56","375.10","382.39","3,501,927"
01/24/2023,"390.00","390.00","375.22","380.01","2,756,242"
01/23/2023,"376.74","381.38","376.36","378.57","2,743,884"
01/20/2023,"370.23","376.62","369.40","376.28","3,863,414"
01/19/2023,"364.60","370.80","363.60","367.94","3,111,242"
01/18/2023,"374.51","375.81","368.50","368.92","2,747,128"
01/17/2023,"375.00","378.33","373.98","375.00","2,814,656"
01/13/2023,"375.06","377.87","374.31","375.52","4,261,049"
01/12/2023,"377.86","381.13","376.92","379.81","3,291,386"
01/11/2023,"372.62","377.92","371.26","377.86","3,370,200"
01/10/2023,"368.81","371.68","367.21","371.01","3,485,924"
01/09/2023,"371.63","375.00","369.56","370.97","3,913,658"
01/06/2023,"357.31","368.72","355.32","367.67","4,432,804"
01/05/2023,"356.12","357.56","351.27","351.77","2,608,546"
01/04/2023,"351.39","356.98","349.69","355.15","2,661,005"
01/03/2023,"349.96","354.66","343.94","346.80","2,933,755"
12/30/2022,"345.33","347.90","343.62","347.73","1,617,719"
12/29/2022,"344.38","349.72","343.54","348.21","1,459,793"
12/28/2022,"346.55","349.51","341.78","341.95","1,854,082"
12/27/2022,"344.10","346.91","341.81","346.16","1,637,700"
12/23/2022,"339.02","344.54","337.69","343.60","1,914,737"
12/22/2022,"344.19","345.60","336.43","341.52","2,276,404"
12/21/2022,"343.64","347.60","342.37","345.69","2,086,988"
12/20/2022,"341.37","344.37","340.62","342.95","1,895,912"
12/19/2022,"345.36","345.85","339.54","341.26","2,457,278"
12/16/2022,"344.77","348.24","343.38","345.84","5,947,137"
12/15/2022,"351.42","353.80","342.56","346.25","2,774,976"
12/14/2022,"357.00","362.10","353.77","357.51","2,587,188"
12/13/2022,"369.24","369.26","355.74","357.15","3,072,366"
12/12/2022,"350.31","358.44","349.10","358.17","2,427,292"
12/09/2022,"348.40","352.77","347.36","348.83","2,301,173"
12/08/2022,"350.00","352.17","347.22","351.17","1,998,664"
12/07/2022,"346.88","347.85","341.47","347.42","2,454,399"
12/06/2022,"353.82","355.00","344.35","347.53","2,353,297"
12/05/2022,"356.00","358.90","354.45","356.09","2,202,602"
12/02/2022,"357.45","362.29","356.06","360.06","2,015,586"
12/01/2022,"357.99","361.58","354.05","360.80","3,374,744"
11/30/2022,"342.85","356.40","341.48","356.40","4,252,283"
11/29/2022,"343.65","344.72","340.75","343.13","1,724,326"
11/28/2022,"346.68","350.23","343.23","344.59","2,226,412"
11/25/2022,"348.96","351.40","348.08","351.29","944,409"
11/23/2022,"344.63","350.80","344.15","348.64","1,937,368"
11/22/2022,"339.83","345.32","337.56","344.96","2,510,939"
11/21/2022,"343.00","344.25","337.62","338.25","1,965,239"
11/18/2022,"345.66","348.63","341.33","343.69","2,737,666"
11/17/2022,"339.00","341.92","337.00","341.27","2,004,543"
11/16/2022,"343.16","345.13","340.10","342.76","2,579,780"
11/15/2022,"346.59","351.22","339.49","343.51","2,983,623"
11/14/2022,"336.74","344.51","336.02","339.37","2,349,019"
11/11/2022,"339.00","342.63","336.36","339.29","3,734,766"
11/10/2022,"331.18","337.40","329.16","337.27","3,254,972"
11/09/2022,"322.28","323.69","315.15","315.64","3,001,178"
11/08/2022,"326.23","329.40","322.26","325.75","2,387,459"
11/07/2022,"322.45","325.80","317.71","325.13","2,742,320"
11/04/2022,"313.84","323.13","313.24","318.37","3,246,836"
11/03/2022,"315.12","316.77","308.60","309.17","2,861,062"
11/02/2022,"331.42","333.00","319.63","319.82","3,075,115"
11/01/2022,"332.22","333.64","327.09","333.19","3,660,459"
10/31/2022,"328.88","329.44","323.78","328.18","3,157,979"
10/28/2022,"319.31","331.80","317.82","329.47","3,644,429"
10/27/2022,"316.18","323.08","314.06","319.37","4,725,832"
10/26/2022,"312.29","324.45","312.29","319.51","5,281,438"
10/25/2022,"305.91","312.10","305.86","311.41","3,012,354"
10/24/2022,"304.52","307.00","300.50","305.60","3,184,066"
10/21/2022,"294.51","302.71","293.50","302.37","3,599,622"
10/20/2022,"297.75","302.73","295.61","296.28","2,463,932"
10/19/2022,"295.46","299.64","294.79","297.76","1,914,414"
10/18/2022,"303.17","303.70","296.55","300.38","3,096,016"
10/17/2022,"295.42","298.73","291.34","295.04","3,417,635"
10/14/2022,"295.86","298.62","287.84","288.69","3,106,348"
10/13/2022,"277.28","295.43","276.87","293.96","3,323,054"
10/12/2022,"286.54","287.49","283.21","283.38","2,646,833"
10/11/2022,"289.83","290.39","284.42","286.05","3,555,031"
10/10/2022,"297.04","297.25","289.54","291.78","1,783,529"
10/07/2022,"296.66","297.19","292.99","294.97","2,210,877"
10/06/2022,"302.58","305.05","298.86","299.23","2,494,392"
10/05/2022,"297.98","306.60","297.25","304.20","2,845,321"
10/04/2022,"296.19","303.97","295.98","301.27","3,949,221"
10/03/2022,"287.85","292.75","284.92","290.48","5,285,358"
09/30/2022,"286.86","290.76","284.34","284.34","3,804,233"
09/29/2022,"288.35","292.07","284.85","286.77","3,439,692"
09/28/2022,"285.11","292.98","281.69","290.18","5,611,649"
09/27/2022,"295.47","297.90","284.80","286.48","4,073,383"
09/26/2022,"290.05","295.34","289.12","290.11","3,635,597"
09/23/2022,"293.13","294.57","290.24","293.58","3,245,860"
09/22/2022,"302.95","303.08","296.59","298.36","3,176,464"
